"COD_ESTRATOS20";"den_tot_bajo";"den_tot_alto";"den_tot"
1.00;471.72;350.22;821.94
2.00;459.57;112.42;572.00
3.00;420.87;79.08;499.95
4.00;526.20;133.60;659.80
5.00;153.00;492.66;645.66
6.00;301.41;156.16;457.58
10.00;116.40;174.00;290.40
22.00;14.16;100.00;114.16
26.00;0.00;586.33;586.33
32.00;35.80;86.20;122.00
35.00;52.52;144.10;196.63
36.00;31.84;168.73;200.57
40.00;141.00;828.00;969.00
45.00;15.40;307.13;322.53
46.00;0.00;322.40;322.40
47.00;13.80;321.70;335.50
48.00;34.12;363.87;398.00
50.00;12.27;422.72;435.00
52.00;48.16;1019.16;1067.33
54.00;0.00;1121.04;1121.04
55.00;17.33;872.77;890.11
56.00;0.00;1089.52;1089.52
58.00;39.80;874.72;914.52
61.00;0.00;931.92;931.92
62.00;0.00;1299.22;1299.22
63.00;1.36;699.31;700.68
65.00;0.00;813.00;813.00
66.00;93.93;297.75;391.68
68.00;45.55;457.11;502.66
69.00;75.09;204.00;279.09
70.00;55.93;954.46;1010.40
71.00;194.73;844.89;1039.63
72.00;23.54;724.72;748.27
73.00;33.86;1048.18;1082.04
74.00;2.15;507.46;509.61
75.00;6.05;905.68;911.73
76.00;168.66;490.72;659.38
77.00;94.90;1045.00;1139.90
78.00;84.52;1064.17;1148.70
79.00;94.72;912.72;1007.45
80.00;132.80;951.40;1084.20
81.00;84.20;338.60;422.80
82.00;90.62;984.62;1075.25
83.00;6.50;1156.00;1162.50
