"ID_PARCELA";"UTM_X_GPS";"UTM_Y_GPS";"den_tot_bajo";"den_tot_alto";"den_tot"
1;522185;4105492.00;783;26;809
2;521680;4105491.00;1067;26;1093
3;521694;4104993.00;113;113;226
4;521179;4105494.00;414;181;595
5;521185;4105994.00;715;79;794
6;520683;4105491.00;27;987;1014
7;520684;4104997.00;400;80;480
8;520934;4106493.00;26;679;705
9;520680;4106487.00;0;1099;1099
10;520430;4106491.00;79;1135;1214
11;520171;4106489.00;0;442;442
12;520432;4106738.00;178;1198;1376
13;520681;4106738.00;0;1271;1271
14;520936;4106743.00;0;683;683
15;520934;4106993.00;0;1403;1403
16;520682;4106992.00;785;405;1190
17;520432;4106995.00;574;1201;1775
18;517684;4104497.00;0;1230;1230
19;517187;4104996.00;0;1546;1546
20;516683;4105493.00;0;679;679
21;515437;4106493.00;0;549;549
22;515184;4105497.00;27;1225;1252
23;514934;4106242.00;64;160;224
24;514931;4106496.00;59;908;967
25;515165;4107273.00;0;1584;1584
26;514934;4106997.00;180;1598;1778
27;514937;4106743.00;84;982;1066
28;514682;4106995.00;0;1627;1627
29;514184;4106991.00;335;1263;1598
30;514186;4105992.00;54;461;515
31;513685;4106495.00;0;1502;1502
32;513183;4106995.00;493;55;548
33;513189;4106492.00;55;666;721
34;513682;4105495.00;27;377;404
35;512682;4106494.00;487;86;573
36;512666;4106971.00;102;306;408
37;511680;4105996.00;185;1611;1796
38;510182;4106490.00;0;880;880
39;510182;4106993.00;0;931;931
40;509683;4106996.00;0;408;408
41;514684;4107246.00;210;150;360
42;516681;4106741.00;26;1137;1163
43;527183;4102992.00;206;0;206
44;527179;4103489.00;215;0;215
45;526683;4103488.00;363;52;415
46;527680;4103493.00;280;0;280
47;527684;4102996.00;143;0;143
48;528180;4102487.00;51;538;589
49;528463;4102180.00;26;1134;1160
50;528646;4102176.00;0;909;909
51;528693;4101995.00;0;641;641
52;526682;4103993.00;531;56;587
53;527181;4103992.00;275;0;275
54;527686;4103988.00;309;0;309
55;528183;4103989.00;860;0;860
56;528179;4103490.00;357;0;357
57;528182;4102990.00;106;1302;1408
58;528402;4101701.00;52;1488;1540
59;528430;4102491.00;0;1780;1780
60;528671;4102482.00;188;1050;1238
61;528874;4102495.00;53;1616;1669
62;528931;4102742.00;0;768;768
63;529186;4102490.00;0;1341;1341
64;529436;4102493.00;0;756;756
65;528688;4102736.00;57;774;831
66;528434;4102742.00;419;1178;1597
67;528909;4102939.00;27;868;895
68;528668;4102988.00;449;561;1010
69;528431;4102987.00;0;932;932
70;528669;4103195.00;0;1510;1510
71;528569;4103449.00;615;0;615
72;528686;4103994.00;219;0;219
73;527182;4104496.00;277;0;277
74;526688;4104493.00;219;0;219
75;526681;4104989.00;212;26;238
76;526186;4104989.00;435;0;435
77;526184;4104490.00;387;103;490
78;526188;4103990.00;264;26;290
79;527929;4104239.00;331;0;331
80;528435;4104243.00;106;396;502
81;495687;4108998.00;0;887;887
82;495683;4110998.00;0;1422;1422
83;495686;4109992.00;0;1024;1024
84;494683;4108991.00;0;510;510
85;494684;4107995.00;0;1207;1207
86;494687;4106994.00;0;796;796
87;495687;4106996.00;0;1206;1206
88;493685;4106998.00;0;951;951
89;493677;4107988.00;0;377;377
90;492686;4107993.00;0;682;682
91;492183;4107991.00;190;0;190
92;491684;4107994.00;0;1207;1207
93;492685;4108996.00;2988;101;3089
94;492692;4109498.00;26;184;210
95;491686;4108997.00;0;2801;2801
96;490183;4109495.00;0;515;515
97;490184;4107992.00;0;1627;1627
98;490183;4110495.00;154;538;692
99;489686;4109990.00;0;485;485
100;489684;4108994.00;0;190;190
101;489683;4107992.00;0;503;503
102;489684;4108492.00;0;373;373
107;485685;4098993.00;0;1775;1775
103;488499;4103991.00;0;783;783
104;486739;4100971.00;0;1150;1150
105;486687;4099987.00;0;1333;1333
106;485693;4099987.00;0;759;759
108;526681;4102984.00;102;0;102
109;527180;4102490.00;105;52;157
110;501685;4102997.00;0;0;0
111;499680;4101994.00;157;105;262
112;501689;4103995.00;0;874;874
113;500684;4102994.00;0;345;345
114;500686;4104002.00;0;406;406
115;501681;4099994.00;101;0;101
116;501684;4099492.00;51;2355;2406
117;499684;4102995.00;0;337;337
118;502684;4100994.00;0;729;729
119;501682;4100997.00;0;480;480
120;501687;4101997.00;0;178;178
600;502184;4103001.00;156;883;1039
121;498683;4105991.00;0;1185;1185
122;517684;4103001.00;290;26;316
123;516686;4103998.00;0;560;560
124;516683;4102992.00;154;154;308
125;517690;4101996.00;115;29;144
126;516667;4101990.00;29;0;29
127;517681;4101492.00;26;438;464
128;518685;4101990.00;54;567;621
129;516686;4102490.00;87;87;174
130;515709;4102000.00;0;1080;1080
131;515687;4102996.00;0;710;710
132;518683;4100992.00;233;175;408
133;514689;4102994.00;0;1440;1440
134;514687;4101990.00;0;533;533
135;518684;4101497.00;304;364;668
136;483681;4094989.00;0;596;596
137;484691;4100992.00;0;1696;1696
138;481685;4100995.00;0;1527;1527
139;480683;4097990.00;0;401;401
140;480682;4096998.00;0;1680;1680
141;480684;4095994.00;0;866;866
142;480681;4094993.00;0;973;973
143;479691;4093993.00;0;252;252
144;470196;4089989.00;26;1218;1244
145;469722;4090017.00;0;1778;1778
146;524684;4102991.00;375;94;469
147;463693;4091986.00;0;423;423
148;463173;4091992.00;0;1487;1487
149;463171;4092499.00;0;445;445
150;463183;4092241.00;0;350;350
151;462933;4092245.00;0;1705;1705
152;462933;4092494.00;0;2300;2300
153;462933;4091990.00;0;932;932
154;462682;4090987.00;0;556;556
155;470688;4092994.00;0;797;797
156;458692;4102490.00;0;709;709
157;457194;4101486.00;0;0;0
158;457692;4101494.00;0;370;370
159;457685;4100999.00;0;0;0
160;456682;4101489.00;0;0;0
161;456683;4101988.00;101;0;101
162;457182;4102491.00;0;452;452
163;455685;4101485.00;0;462;462
164;455688;4101990.00;0;53;53
165;455185;4102989.00;0;189;189
166;454181;4101992.00;0;27;27
167;453829;4102397.00;0;153;153
168;453682;4102989.00;0;0;0
169;453185;4103491.00;93;0;93
170;452689;4102992.00;88;0;88
171;452690;4101989.00;0;219;219
172;452188;4102995.00;35;35;70
173;457185;4102988.00;55;768;823
174;453181;4102491.00;94;157;251
175;453930;4102742.00;0;0;0
176;453689;4102742.00;0;69;69
177;453435;4102991.00;136;102;238
178;453426;4102712.00;103;34;137
179;453437;4103494.00;0;59;59
180;452936;4103494.00;0;1254;1254
181;452935;4103240.00;95;63;158
182;453188;4103244.00;0;168;168
183;452685;4102491.00;84;223;307
184;452435;4102490.00;69;69;138
185;452431;4102745.00;0;1229;1229
186;452184;4102744.00;0;326;326
187;452434;4102991.00;0;0;0
188;451937;4102495.00;0;177;177
189;452181;4102241.00;0;418;418
190;451932;4102741.00;34;310;344
191;452433;4101997.00;0;128;128
192;452685;4101741.00;0;32;32
193;452933;4101993.00;0;0;0
194;500683;4109992.00;0;902;902
195;499678;4107996.00;0;1062;1062
196;499681;4108998.00;0;1223;1223
197;498680;4110491.00;82;356;438
198;458688;4099999.00;67;0;67
199;459191;4099993.00;0;323;323
200;457189;4098990.00;0;486;486
201;457687;4098497.00;0;0;0
202;455899;4098802.00;303;0;303
203;453180;4100495.00;0;57;57
204;452935;4100495.00;0;161;161
205;452682;4100492.00;79;26;105
206;452685;4100238.00;54;163;217
207;452437;4099995.00;60;242;302
208;452681;4099992.00;60;151;211
209;453180;4100243.00;52;26;78
210;453182;4099997.00;68;0;68
211;452435;4099739.00;178;119;297
212;452183;4099744.00;28;84;112
213;452183;4099997.00;25;204;229
214;451932;4099743.00;0;211;211
215;451938;4099494.00;219;94;313
216;451686;4099492.00;0;120;120
217;451686;4099742.00;80;80;160
218;451681;4099238.00;0;70;70
219;451935;4100240.00;0;189;189
220;451930;4100496.00;0;222;222
221;451679;4100497.00;0;25;25
222;453183;4099739.00;63;0;63
223;451432;4099494.00;0;253;253
224;453682;4099246.00;0;103;103
225;453687;4098988.00;0;0;0
226;453935;4099239.00;31;31;62
227;453937;4099496.00;54;27;81
228;498686;4109991.00;0;779;779
229;498683;4108994.00;0;500;500
230;498679;4107994.00;0;1546;1546
231;498183;4107996.00;0;877;877
232;497686;4108996.00;0;887;887
233;496685;4107997.00;0;957;957
234;497683;4108496.00;0;0;0
235;495699;4107997.42;0;1181;1181
236;509687;4107497.00;0;825;825
237;509174;4107461.00;149;30;179
238;509186;4108496.00;887;0;887
239;508686;4107495.00;0;1369;1369
240;508685;4106995.00;26;1218;1244
241;508184;4106998.00;0;353;353
242;508681;4106492.00;0;680;680
243;507683;4106493.00;0;916;916
244;512684;4103994.00;0;261;261
245;513686;4102999.00;0;26;26
246;513658;4101994.00;0;435;435
247;513687;4100994.00;0;2264;2264
248;470176;4108003.00;0;1215;1215
249;470226;4107509.00;0;1101;1101
250;471187;4108493.00;0;269;269
251;469169;4109523.00;0;239;239
252;465695;4107989.00;0;758;758
253;465201;4108004.00;0;1762;1762
254;465183;4107494.00;0;1572;1572
255;464195;4108540.00;0;666;666
256;463335;4108925.00;0;1782;1782
257;462642;4109025.00;0;1352;1352
258;463706;4108547.00;0;2575;2575
259;470636;4107014.00;0;477;477
260;465691;4109996.00;0;747;747
261;466171;4110004.00;0;255;255
262;466683;4109503.00;0;458;458
263;466164;4109493.00;0;1014;1014
264;467181;4109523.00;0;231;231
265;467680;4109503.00;270;419;689
266;470371;4108490.00;0;449;449
267;472655;4109255.00;0;676;676
268;472658;4108874.00;0;2624;2624
269;468183;4108493.00;0;1154;1154
270;467683;4108493.00;0;625;625
271;469205;4108015.00;0;323;323
272;469662;4108485.00;0;503;503
273;469667;4109000.00;0;1000;1000
274;469184;4108993.00;0;616;616
275;469184;4108493.00;0;915;915
276;504185;4106992.00;0;0;0
277;504678;4106994.00;0;693;693
278;504682;4107497.00;0;912;912
279;504184;4107491.00;0;1012;1012
280;503679;4107992.00;0;960;960
281;504178;4107992.00;0;1662;1662
282;504683;4108001.00;0;390;390
283;504679;4108495.00;777;803;1580
284;504179;4108494.00;213;1807;2020
285;504680;4108983.00;0;1929;1929
286;503680;4109007.00;59;706;765
287;502680;4106998.00;0;209;209
288;502186;4106995.00;0;1515;1515
289;501685;4107493.00;0;533;533
290;501680;4107995.00;0;1053;1053
291;502675;4107994.00;0;302;302
292;502681;4108991.00;0;938;938
293;501682;4108995.00;0;629;629
294;501685;4109994.00;0;1469;1469
295;501181;4108995.00;0;760;760
296;501186;4109492.00;0;742;742
297;501179;4107993.00;0;2208;2208
298;501182;4108481.00;0;502;502
299;479682;4114497.00;0;1226;1226
300;480184;4113996.00;233;583;816
301;480686;4113994.00;162;1481;1643
302;481687;4113994.00;0;1224;1224
303;480683;4115494.00;249;746;995
304;480682;4110994.00;0;496;496
305;480684;4111996.00;0;619;619
306;482667;4112995.00;51;1065;1116
307;481169;4111000.00;0;915;915
308;481684;4110991.00;0;34;34
309;482683;4110996.00;0;978;978
310;482685;4113996.00;542;0;542
311;482685;4109995.00;0;1530;1530
312;481685;4109994.00;0;887;887
313;481667;4111986.00;54;569;623
314;484185;4109494.00;52;1108;1160
315;481687;4112995.00;134;537;671
316;483193;4113496.00;0;1007;1007
317;483188;4107998.00;0;491;491
318;483186;4108494.00;0;2113;2113
319;483697;4108995.00;0;1369;1369
320;484185;4110993.00;181;233;414
321;484187;4110494.00;0;1093;1093
322;483652;4110496.00;0;945;945
323;482684;4109015.00;0;282;282
324;482676;4107987.00;0;1340;1340
325;485181;4112010.00;242;1158;1400
326;483648;4109992.00;0;1038;1038
327;484685;4111495.00;1633;952;2585
330;458685;4092994.00;0;272;272
331;458687;4090991.00;0;103;103
332;511685;4103992.00;0;358;358
333;509685;4103998.00;0;2486;2486
334;457686;4090994.00;0;1413;1413
335;486686;4108491.00;0;1124;1124
336;486690;4108990.00;0;864;864
337;486687;4109996.00;0;672;672
338;486186;4109995.00;0;1753;1753
339;488187;4108995.00;0;0;0
340;487683;4108494.00;0;594;594
341;488684;4107994.00;0;1546;1546
342;485684;4110995.00;0;1316;1316
343;487184;4107994.00;0;1139;1139
344;485681;4109995.00;0;603;603
345;489685;4110994.00;459;1054;1513
346;489185;4107994.00;0;397;397
347;489686;4110498.00;0;640;640
348;488687;4106995.00;0;909;909
349;488185;4107492.00;0;1359;1359
350;487684;4108993.00;89;179;268
351;488685;4108992.00;0;995;995
352;487685;4107996.00;0;906;906
353;487684;4109994.00;640;139;779
354;489185;4109996.00;0;757;757
355;488686;4109494.00;0;54;54
356;488186;4109492.00;975;739;1714
357;489185;4109490.00;0;227;227
358;488686;4109992.00;0;1788;1788
359;525685;4103995.00;294;0;294
360;525682;4104489.00;459;0;459
361;525684;4104988.00;288;0;288
362;525184;4104987.00;451;0;451
363;525188;4104492.00;431;135;566
364;524683;4104983.00;320;96;416
365;524688;4104489.00;419;0;419
366;524181;4104496.00;369;0;369
367;524183;4104994.00;211;342;553
368;523680;4104486.00;341;0;341
369;523179;4104991.00;740;219;959
370;522678;4104994.00;335;206;541
371;522184;4104989.00;308;77;385
372;477217;4115993.00;56;252;308
373;477687;4117050.00;1352;201;1553
374;477680;4116451.00;920;0;920
375;477183;4116490.00;285;628;913
376;477548;4117329.00;1108;722;1830
377;478132;4118491.00;202;0;202
378;477682;4113556.00;0;0;0
379;477186;4113493.00;26;0;26
380;478187;4117993.00;705;78;783
381;477672;4117738.00;913;0;913
382;477181;4114495.00;0;0;0
383;478681;4117490.00;450;397;847
384;478182;4116991.00;773;240;1013
385;478683;4116994.00;599;0;599
386;477680;4114991.00;0;29;29
387;477679;4115493.00;89;60;149
388;477242;4115460.00;27;0;27
389;478184;4115993.00;1175;183;1358
390;477684;4115995.00;114;57;171
391;478680;4115992.00;988;60;1048
392;458198;4103490.00;0;596;596
393;458682;4103991.00;0;419;419
394;458193;4103995.00;0;443;443
395;459184;4104491.00;0;388;388
396;455683;4104495.00;0;597;597
397;454684;4104492.00;0;445;445
398;454183;4104491.00;0;1264;1264
399;453678;4104492.00;0;571;571
400;457187;4104998.00;156;0;156
401;459184;4104995.00;0;739;739
402;458680;4104998.00;0;773;773
403;458183;4105492.00;30;121;151
404;457689;4105495.00;0;219;219
405;457189;4105984.00;0;250;250
406;457187;4105491.00;0;144;144
407;456687;4105497.00;85;366;451
408;456685;4104994.00;0;56;56
409;456183;4104991.00;0;189;189
410;455690;4104998.00;0;471;471
411;454680;4104998.00;55;139;194
412;455182;4105496.00;56;0;56
413;455179;4105997.00;0;453;453
414;455687;4106497.00;0;434;434
415;456182;4106486.00;105;0;105
416;455687;4106998.00;0;597;597
417;454684;4106995.00;0;1590;1590
418;453685;4106497.00;55;192;247
419;456185;4107486.00;30;0;30
420;455683;4107491.00;0;280;280
421;455184;4107494.00;0;134;134
422;459685;4105494.00;0;0;0
423;459184;4106495.00;29;314;343
424;459181;4105991.00;0;187;187
425;460186;4106497.00;112;224;336
426;460681;4106494.00;510;0;510
427;461195;4105996.00;107;0;107
428;461183;4105494.00;78;0;78
429;461684;4105989.00;131;33;164
430;457692;4104991.00;52;235;287
431;455689;4107988.00;0;0;0
432;455181;4107981.00;0;321;321
433;460180;4105999.00;0;33;33
434;460684;4108491.00;0;296;296
435;456189;4107996.00;0;5158;5158
436;455686;4107740.00;0;419;419
437;455931;4107995.00;0;62;62
438;455434;4107746.00;0;206;206
439;455432;4107992.00;0;358;358
440;455432;4108245.00;103;231;334
441;455187;4107743.00;52;439;491
442;454934;4108490.00;0;937;937
443;455183;4108239.00;26;26;52
444;455685;4105993.00;0;1485;1485
445;455182;4105241.00;0;98;98
446;454936;4105239.00;0;0;0
447;454935;4104992.00;0;154;154
448;455681;4104744.00;0;227;227
449;455938;4104742.00;0;128;128
450;454433;4104742.00;0;228;228
451;454437;4104492.00;0;384;384
452;454188;4104735.00;0;358;358
453;456433;4104991.00;0;597;597
454;457188;4104743.00;0;190;190
455;457436;4104748.00;114;257;371
456;457181;4105244.00;85;451;536
457;456937;4105242.00;25;50;75
458;456936;4105495.00;0;113;113
459;457185;4105739.00;89;177;266
460;455931;4104996.00;0;281;281
461;459440;4105492.00;0;26;26
462;459435;4105248.00;0;77;77
463;459680;4106241.00;0;998;998
464;459181;4106243.00;0;188;188
465;459186;4106743.00;180;52;232
466;459435;4106747.00;0;0;0
467;529428;4104493.00;265;742;1007
468;529186;4104992.00;81;1023;1104
469;529184;4104737.00;25;889;914
470;528681;4104489.00;132;263;395
471;528182;4104988.00;53;898;951
472;528183;4104493.00;163;542;705
473;527685;4104990.00;53;883;936
474;527684;4104490.00;215;483;698
475;527688;4105491.00;26;130;156
476;527185;4105490.00;164;740;904
477;527691;4105991.00;0;437;437
478;528437;4104743.00;207;0;207
479;528940;4104742.00;51;714;765
480;527433;4105994.00;0;0;0
481;529436;4104744.00;0;0;0
482;529183;4104495.00;26;880;906
483;497685;4106991.00;0;1260;1260
484;497182;4106996.00;0;2713;2713
485;497681;4106503.00;0;488;488
486;497680;4105992.00;0;1191;1191
487;496687;4104995.00;0;1179;1179
488;497188;4104490.00;0;1398;1398
489;496683;4102988.00;0;2546;2546
490;495686;4102989.00;0;746;746
491;497680;4101997.42;0;2142;2142
492;497682;4101004.00;0;1658;1658
493;496685;4101990.00;0;2713;2713
494;495681;4100997.00;0;754;754
495;494784;4101199.00;0;1382;1382
496;494683;4101995.00;0;613;613
497;495685;4098999.00;0;931;931
498;495681;4099997.00;0;1565;1565
499;494776;4100200.00;0;2509;2509
500;495171;4099495.00;0;1804;1804
501;494440;4099169.00;0;1298;1298
502;494182;4100499.00;0;1934;1934
503;492785;4103195.00;0;1287;1287
504;492788;4102197.00;0;1263;1263
505;496676;4105951.00;0;2571;2571
506;497396;4103758.00;0;1331;1331
507;497186;4104807.00;0;1246;1246
508;493688;4100972.00;0;0;0
509;494684;4099491.00;0;761;761
510;494056;4101975.00;0;1464;1464
511;493555;4102161.00;0;0;0
512;522184;4103991.00;583;0;583
513;522185;4101742.00;0;909;909
514;521185;4102245.00;0;1166;1166
515;521432;4102245.00;0;1012;1012
516;521681;4101743.00;0;1179;1179
517;521684;4101994.00;84;1034;1118
518;521934;4101742.00;0;1010;1010
519;523181;4104491.00;184;0;184
520;518182;4103995.00;0;969;969
521;518684;4103994.00;0;521;521
522;520683;4103994.00;663;1045;1708
523;520685;4102998.00;50;1511;1561
524;519687;4103000.00;77;1103;1180
525;519683;4101993.00;53;1457;1510
526;521684;4104499.00;629;126;755
527;518687;4102993.00;0;129;129
528;520186;4101990.00;51;0;51
529;519936;4101994.00;30;119;149
530;522190;4104496.00;797;77;874
531;519182;4101492.00;653;245;898
532;521686;4103995.00;806;101;907
533;521189;4103994.00;835;56;891
534;521434;4103499.00;304;911;1215
535;521438;4103742.00;234;807;1041
536;521678;4102999.00;53;1222;1275
537;521686;4103492.00;556;1033;1589
538;521939;4103244.00;231;797;1028
539;521686;4103242.00;394;1654;2048
540;521935;4101991.00;26;1616;1642
541;521934;4102243.00;0;1247;1247
542;521185;4103746.00;242;564;806
543;465690;4093001.00;0;438;438
544;467175;4094496.00;0;1295;1295
545;466683;4094979.00;0;1509;1509
546;502683;4099998.00;0;1638;1638
547;503684;4102993.00;0;0;0
548;502685;4099495.00;0;706;706
549;503182;4104493.00;0;786;786
550;503663;4100006.00;0;539;539
551;503687;4100998.00;0;1312;1312
552;502682;4101989.00;0;345;345
553;503684;4101996.00;25;533;558
554;503681;4102496.00;0;0;0
555;505685;4104997.00;0;798;798
556;503183;4103495.00;0;1081;1081
557;502683;4103992.00;0;155;155
558;503686;4104999.00;0;1895;1895
559;504684;4103997.00;0;707;707
560;474180;4093482.00;0;665;665
561;474181;4092993.00;0;405;405
562;473685;4090486.00;0;632;632
563;473680;4090985.00;156;415;571
564;473185;4090991.00;0;1178;1178
565;472686;4091989.00;0;2572;2572
566;471685;4090993.00;0;785;785
567;473688;4093919.00;0;0;0
568;464686;4089491.00;27;909;936
569;464686;4089991.00;0;199;199
570;464937;4091757.00;0;996;996
571;464689;4091745.00;0;81;81
572;464684;4091991.00;0;496;496
573;464452;4091736.00;0;210;210
574;464433;4091988.00;0;405;405
575;464435;4092247.00;0;1011;1011
576;464187;4092246.00;28;28;56
577;464185;4091991.00;0;347;347
578;464185;4091742.00;0;386;386
579;463936;4092241.00;115;86;201
580;470695;4091000.00;0;1294;1294
581;470686;4089997.00;0;2441;2441
582;470683;4091993.00;0;360;360
583;477681;4092999.00;0;1050;1050
584;477655;4094987.42;0;415;415
585;476695;4092991.00;170;28;198
586;477671;4097000.00;0;112;112
587;478167;4097986.00;0;90;90
588;478174;4098486.00;279;31;310
589;478964;4098010.00;0;491;491
590;477689;4096228.00;0;927;927
591;477182;4095495.00;0;272;272
592;491785;4102191.00;0;78;78
593;491782;4103197.00;0;0;0
594;491793;4100192.42;0;0;0
595;492292;4102195.00;26;477;503
596;491395;4103710.42;0;333;333
597;491357;4104528.00;0;715;715
598;491406;4101194.00;0;464;464
599;491807;4100616.42;0;1605;1605
